Icon glyphs present in Cozette v1.30.0 (from the released cozette.bdf cmap).
Names come from the Nerd Fonts glyphnames.json; a codepoint with several
names lists them all. Grouped by family, sorted by codepoint.

582 icons (482 named, 100 unnamed) out of 6046 glyphs in the font.

Use in sdn-config.yaml as a YAML escape, e.g.  "\uE73C"

== Font Awesome  (166) ======================================

  U+0F001    \uF001      fa-music
  U+0F005    \uF005      fa-star
  U+0F007    \uF007      fa-user
  U+0F008    \uF008      fa-film
  U+0F00B    \uF00B      fa-table_list, fa-th_list
  U+0F00C    \uF00C      fa-check
  U+0F00D    \uF00D      fa-close, fa-remove, fa-times, fa-xmark
  U+0F013    \uF013      fa-cog, fa-gear
  U+0F014    \uF014      fa-trash_can, fa-trash_o
  U+0F015    \uF015      fa-home, fa-house
  U+0F016    \uF016      fa-file_o
  U+0F017    \uF017      fa-clock, fa-clock_o
  U+0F01A    \uF01A      fa-arrow_circle_o_down, fa-circle_down
  U+0F01B    \uF01B      fa-arrow_circle_o_up, fa-circle_up
  U+0F01C    \uF01C      fa-inbox
  U+0F023    \uF023      fa-lock
  U+0F025    \uF025      fa-headphones
  U+0F026    \uF026      fa-volume_off
  U+0F027    \uF027      fa-volume_down, fa-volume_low
  U+0F028    \uF028      fa-volume_high, fa-volume_up
  U+0F02B    \uF02B      fa-tag
  U+0F02D    \uF02D      fa-book
  U+0F031    \uF031      fa-font
  U+0F032    \uF032      fa-bold
  U+0F033    \uF033      fa-italic
  U+0F034    \uF034      fa-text_height
  U+0F035    \uF035      fa-text_width
  U+0F03A    \uF03A      fa-list
  U+0F03D    \uF03D      fa-video, fa-video_camera
  U+0F03E    \uF03E      fa-image, fa-photo, fa-picture_o
  U+0F040    \uF040      fa-pencil
  U+0F048    \uF048      fa-backward_step, fa-step_backward
  U+0F049    \uF049      fa-backward_fast, fa-fast_backward
  U+0F04A    \uF04A      fa-backward
  U+0F04B    \uF04B      fa-play
  U+0F04C    \uF04C      fa-pause
  U+0F04D    \uF04D      fa-stop
  U+0F04E    \uF04E      fa-forward
  U+0F050    \uF050      fa-fast_forward, fa-forward_fast
  U+0F051    \uF051      fa-forward_step, fa-step_forward
  U+0F052    \uF052      fa-eject
  U+0F053    \uF053      fa-chevron_left
  U+0F054    \uF054      fa-chevron_right
  U+0F055    \uF055      fa-circle_plus, fa-plus_circle
  U+0F056    \uF056      fa-circle_minus, fa-minus_circle
